tree,martelo,country,quadrant,species,social_status,DBH_cm,utmX,utmY,quality,Health,microhabitat,Total_height_m,Crownbase_height_m,V_m3ha,Bs_kg,B2_kg,B2_7_kg,B7_kg,Bs_B7.q.p_kg,B_kg,B,spNum,simpson,shannon,Even,D,MS,Mi,W,S,TH,A,G_m2ha,Hzones.st,Atmp,A.st,distij,MVij,Hzones.qd,Vij,THij
2822,Marugan,Spain,6,Pinus pinea,codominant,14.45,368682,4587407,inclinated,healthy,other,5.8,2.1,0.18,22.84736091,20.29273675,10.96213125,0,0,54.10222891,0.054102229,2,0.963235294,3.332089208,0.989544541,1.933333333,0.333333333,0.666666667,0.666666667,0.495584433,0.372050817,3.051198912,0.01639931000128,zone1,5.670455893,2.281959322,2.236067977,1,zone1,0,0.5
2823,Marugan,Spain,6,Pinus pinea,dominant,30.9,368678,4587405,inclinated,healthy,other,7.6,3.5,0.24,129.7930592,67.946867,50.127525,17.42832,0,265.2957712,0.265295771,2,0.963235294,3.332089208,0.989544541,1.933333333,0.166666667,0.333333333,1,0.370358767,0.425438596,1.386294361,0.074990602039352,zone2,4.604106009,1.85282856,3.605551275,0,zone2,1,0.289473684
2824,Marugan,Spain,2,Pinus pinea,dominate,7.65,368668,4587390,inclinated,healthy,other,3.6,2,0.121,4.135881597,15.88734075,3.07243125,0,0,23.0956536,0.023095654,2,0.965483235,3.396271652,0.989016979,1.9375,0.166666667,0.333333333,0.666666667,0.370358767,0.409230769,3.007836872,0.004596346401743,zone1,5.670455893,2.281959322,3,0,zone1,1,0.307692308
2825,Marugan,Spain,2,Quercus faginea,dominant,13.3,368667,4587385,others,healthy,other,5,2.8,0.029,27.24106,10.4099765,17.176019,15.230229,0,70.0572845,0.070057285,3,0.965483235,3.396271652,0.989016979,1.9375,0.25,1,0,0.6208101,0.271182796,3.007836872,0.013892908112338,zone1,5.670455893,2.281959322,4,1,zone1,0,0.193548387
2826,Marugan,Spain,1,Pinus pinea,dominate,8.4,368672,4587384,inclinated,healthy,other,4.1,2,0.223,5.652592404,15.324892,3.7044,0,0,24.6818844,0.024681884,2,0.955621302,3.177596824,0.97529241,2.6,0.166666667,0.333333333,1,0.2451331,0.129131441,2.725485785,0.005541769440932,zone1,5.670455893,2.281959322,2.828427125,0,zone1,1,0.317073171
2827,Marugan,Spain,2,Pinus pinea,codominant,17.05,368663,4587385,inclinated,healthy,other,6.2,3,0.692,33.61544436,24.95226675,15.26188125,0,0,73.82959236,0.073829592,2,0.965483235,3.396271652,0.989016979,1.9375,0.333333333,0.666666667,1,0.495584433,0.150201613,1.609437912,0.022831720959505,zone1,5.670455893,2.281959322,2.236067977,1,zone2,1,0.225806452
2828,Marugan,Spain,2,Quercus faginea,dominate,12.9,368662,4587387,others,healthy,other,4.8,2,0.027,25.62714,9.884754,16.35743736,14.327901,0,66.19723236,0.066197232,3,0.965483235,3.396271652,0.989016979,1.9375,0.333333333,0.666666667,0.666666667,0.4958659,0.171935484,3.007836872,0.013069810837097,zone1,5.670455893,2.281959322,2.236067977,1,zone1,1,0.225806452
2829,Marugan,Spain,2,Pinus pinea,dominant,18.3,368661,4587382,inclinated,healthy,other,6.4,2.4,0.063,39.7814594,27.510923,17.581725,0,0,84.8741074,0.084874107,2,0.965483235,3.396271652,0.989016979,1.9375,0.333333333,0.666666667,1,0.495584433,0.239583333,1.609437912,0.026302199094017,zone1,5.670455893,2.281959322,3.605551275,0,zone2,1,0.03125
2830,Marugan,Spain,2,Quercus faginea,dominate,12,368657,4587378,others,healthy,other,3.6,2.2,0.019,22.176,9.0288,15.187968,12.3984,0,58.791168,0.058791168,3,0.965483235,3.396271652,0.989016979,1.9375,0.333333333,0.666666667,0.666666667,0.4958659,0.461388889,3.007836872,0.011309733552923,zone1,5.670455893,2.281959322,3.605551275,1,zone1,1,0.666666667
2831,Marugan,Spain,2,Pinus pinea,dominant,41.8,368655,4587375,inclinated,healthy,other,10.8,3.2,0.076,332.0005798,114.925268,91.7301,92.00503,0,630.6609778,0.630660978,2,0.965483235,3.396271652,0.989016979,1.9375,0.25,1,0.666666667,0.6208101,0.481481481,1.609437912,0.137227908701456,zone3,3.33220451,1.340977743,3.605551275,1,zone3,1,0.666666667
2832,Marugan,Spain,2,Quercus faginea,dominate,9.6,368652,4587380,others,healthy,other,5,2.4,0.015,14.19264,5.423616,8.948736,7.934976,0,36.499968,0.036499968,3,0.965483235,3.396271652,0.989016979,1.9375,0.333333333,0.666666667,0.333333333,0.4958659,0.439012346,3.007836872,0.007238229473871,zone1,5.670455893,2.281959322,5.385164807,0,zone1,0,0.28
2833,Marugan,Spain,2,Pinus pinea,dominant,40.45,368650,4587385,inclinated,healthy,other,10,4.7,0.094,288.1723736,109.3365168,85.90063125,79.5840175,0,562.9935391,0.562993539,2,0.965483235,3.396271652,0.989016979,1.9375,0.25,1,0.666666667,0.6208101,0.543333333,1.609437912,0.128507043844631,zone2,4.604106009,1.85282856,4.123105626,1,zone3,1,0.51
